No,会社名(サービス名),運営会社,運営形態,URL,問い合わせフォームURL,メールアドレス,SNS,SNS活発度,SNS活発度の根拠,規模メモ,既存提携メモ(給付金サポート等),営業禁止記載,営業禁止の文言,送信日,送信結果,スキップ理由,返信,次アクション,備考
1,退職代行ガーディアン,東京労働経済組合（TRK）,労組,https://taisyokudaiko.jp/,https://trk.or.jp/trkについて/（組合サイトのフォーム。サービスサイトはLINE/電話のみ）,info@trk.or.jp,X:@TaisyokudaikouG / IG:@trk_guardian / TikTok:@taisyokudaikoguardian,高,Xで「本日の退職代行実績」をほぼ日次投稿・2026年直近投稿多数,"法適合の合同労組・1999年設立。19,800円・相談実績4万件超・メディア掲載多数。労組系大手",無,無,利用規約・ポリシー・FAQに該当文言なし,,,,,送信対象1位（SNS高・日次投稿）,メール問い合わせは info@trk.or.jp が現実的
2,退職代行やめたらええねん,株式会社熱狂スタイル,民間,https://yametaraeenen.com/,https://yametaraeenen.com/contact/（3つの規約への同意チェックあり）,info@yametaraeenen.com,X:@yametara_eenen / TikTok:@yametaraeenen_taishoku（代表X:@naito_nekkyo）,高,"X限定割引常時掲出・2026年時点でも投稿継続（フォロワー約1,400）。TikTok運用中。テレビ出演15番組公称","退職支援4,000件超・トラブル0公称。Google口コミ4.9(450件超)。中堅",確認できず（記載なし）,確認できず,問い合わせページ・特商法PDFに営業禁止なし。利用規約PDF未確認→送信前要確認,,,,,送信対象2位（SNS高・送信前に利用規約PDF要確認）,退職代行会社同士の業務提携を「業界初」として公表→提携アプローチ受容性が高い可能性
3,退職代行オフィス脱出計画,株式会社SEALs（推定）,民間,https://www.tiktok.com/@ryoma_kumagai（専用サイトなし）,LINE/DMのみ（参考: https://seals-marketing.com/contact/）,確認できず,TikTok:@ryoma_kumagai（フォロワー約25.2万人）/ IG・Threads:@ryoma_kumagai / X:@kumagai_ryoma9,高,TikTokフォロワー25.2万人・いいね420万。退職代行密着動画を複数投稿,小規模。インフルエンサー発信型。料金・実績非公開,確認できず,確認できず,,,,,,SNS高だがフォームなし（DM/LINEのみ・運営元推定）→スキップ見込み,接触手段は実質SNS DM/LINEのみ。特商法表記未確認
4,退職代行やめタロウ,合同会社Makarios,民間,https://taisyokudaikou-yametarou.com/,https://taisyokudaikou-yametarou.com/contact/,確認できず（フォーム・LINEのみ）,IG:@taisyokudaikou_yametarou / X:あり（ハンドル未確認）,中,推定: Instagram中心に発信・サイトからIG/Xリンクあり。フォロワー数取得不可,"小規模・新興（2023年設立）。一律20,000円",無,無,フォームに営業・勧誘禁止の注意書きなし,,,,,送信対象3位（SNS中・IG主軸）,IG発信が主軸
5,退職代行辞スル,株式会社シーズ,民間,https://jisuru.com/,確認できず（サイト内フォームなし・LINE相談のみ。電話0120-150-242）,info@jisuru.com,X:@jisuru0710 / IG:@jisuru_0710,中,推定: IGフォロワー475・投稿247件。Xでクーポン告知継続・直近確認2025年9月,"2024年7月開始の新興・中小。実績900件超・22,000円・弁護士監修",確認できず（記載なし）,無,利用規約第5条に営業・勧誘禁止条項なし,,,,,SNS中だがフォームなし（LINEのみ）→スキップ見込み,問い合わせは実質LINE完結型
6,退職代行Goodbye,個人運営（代表: 松本祐樹・茨城県那珂市）,民間,https://taisyokudaikou-goodbye.com/（調査環境からDNS解決不可・未検証）,https://taisyokudaikou-goodbye.com/contact/（検索結果ベース）,確認できず,IG:@taisyokudaikou.0309,中,推定: IG発信が主軸とみられる。フォロワー数取得不可,小規模・地域密着。顧問弁護士付き・対面相談可,確認できず,確認できず,,,,,,送信対象4位（SNS中・サイト到達性要確認）,サイト内容未検証（検索結果ベース）
7,退職代行プラスサービス,株式会社スリープラス,民間,https://plus3-service.com/,https://plus3-service.com/contact,benri@three-plus.co.jp,X:@three3service / IG:@plus.service3,低,推定: 定期投稿するがエンゲージメント限定的。X直近確認2025年2月・5月,退職代行とブランド買取を兼業する小規模。弁護士監修,確認できず（記載なし）,確認できず,問い合わせページ・特商法PDFに営業禁止なし。利用規約PDF未確認,,,,,送信対象5位（SNS低〜中・定期投稿あり）,
8,退職代行モームリ,株式会社アルバトロス,民間,https://momuri.com/,https://momuri.com/（トップ内フォーム・取材メディア区分あり）/ 法人窓口 https://www.alba-tross.jp/contact/,info@momuri.com,X:@momuri0201 / IG:@momuri0201 / TikTok:@momuri0201 / YouTube:@momuri,高,"X 2026/4も投稿確認・退職相談10万件表記・2,305万impのバズ投稿あり","業界最大手級。累計退職確定5万件以上・22,000円",有（推定）: 社会保険給付金の受給サポート提供との記事・スニペット,無,利用規約第13条に営業禁止条項なし,,,,,対象外（大手・給付金サポート自社提供）,大手→条件①不適合。2026年2月に前代表逮捕→4月に新体制で受付再開。給付金サポート自社提供→条件③も不適合
9,退職代行わたしNEXT,退職代行toNEXTユニオン,労組,https://taishoku.to-next.jp/,https://taishoku.to-next.jp/#contact,info@taishoku.to-next.jp,X:@watashi_next / IG:@watashi.next / FB:watashi.next,高,推定: 第三者記事に「Xは1日6〜7件投稿」との記載,実績6万件以上・JRAA特級認定。労組系大手クラス。女性特化,有: 退職給付金申請サポートのセクションあり（最大588万円表示）,無,利用規約に営業・勧誘禁止条項なし,,,,,対象外（給付金サポート自社提供・最大588万円表示）,自社で給付金サポート提供→条件③不適合
10,男の退職代行,退職代行toNEXTユニオン,労組,https://otoko-next.jp/,https://otoko-next.jp/#contact,info@otoko.to-next.jp,X:@otoko_next,不明,X 2019年開設。フォロワー・直近投稿確認できず,"わたしNEXTと同一労組。実績6万件・26,800円。労組系大手",有: 公式に退職給付金申請サポートのセクションあり（最大588万円表示）,無,特商法・規約に該当文言なし,,,,,対象外（給付金サポート自社提供・わたしNEXTと同一労組）,自社で給付金サポート提供→条件③に不適合
